"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT07","WT08"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-01-01","1.34",,"0.00","0.0","0.0",,"66","35","   90","   90","8.1","11.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-01-02","2.01",,"0.00","0.0","0.0",,"69","43","  150","  260","6.9","11.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-01-03","4.25",,"0.00","0.0","0.0",,"69","46","   90","   90","15.0","19.9",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-01-04","6.49",,"0.45","0.0","0.0",,"65","51","  120","  110","16.1","23.9",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-01-05","3.36",,"0.18","0.0","0.0",,"55","51","  110","  110","13.0","17.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-01-06","5.37",,"0.52","0.0","0.0",,"57","48","  230","  230","21.0","29.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-01-07","4.47",,"0.67","0.0","0.0",,"50","45","   50","  150","14.1","15.0","    1",,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-01-08","2.24",,"0.03","0.0","0.0",,"53","44","   50","   20","10.1","14.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-01-09","1.34",,"0.00","0.0","0.0",,"56","37","  210","  210","6.9","10.1","    1",,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-01-10","1.34",,"0.00","0.0","0.0",,"55","40","  300","  260","6.0","8.1",,,,,
